track_id,track_name,artist_name,album_name,year,popularity,danceability,energy,acousticness,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,mode,time_signature,duration_min,popularity_group
0tYT6RdFKcSgBiaMfs3mdR,HANDS UP - Live,BIGBANG,BIGBANG10 THE CONCERT 0.TO.10 FINAL IN SEOUL,2017,17,0.521,0.958,0.0867,0.0,0.913,-2.781,0.0839,129.885,0.35,9.0,0.0,4.0,3.9229333333333334,비인기곡
56TET1MKKqADdn4iIkZwL7,GIRLFRIEND - Live,BIGBANG,BIGBANG10 THE CONCERT 0.TO.10 FINAL IN SEOUL,2017,17,0.554,0.918,0.637,0.0,0.808,-3.298,0.0903,85.056,0.449,0.0,0.0,4.0,3.93245,비인기곡
1p6RyfavTo5AJbia63WvMN,ガラガラ GO!! - BIGBANG10 THE CONCERT : 0.TO.10 -THE FINAL-,BIGBANG,BIGBANG10 THE CONCERT : 0.TO.10 -THE FINAL-,2017,21,0.599,0.953,0.0439,0.0,0.39,-4.198,0.0684,120.035,0.497,11.0,0.0,4.0,3.7451166666666666,비인기곡
0fIiCm9Pf19dcIrmZ7stf8,PRETENDED - Live,BIGBANG,BIGBANG10 THE CONCERT 0.TO.10 FINAL IN SEOUL,2017,15,0.465,0.916,0.426,4.39e-06,0.965,-5.28,0.153,86.021,0.348,8.0,1.0,4.0,2.7393833333333335,비인기곡
3RuVX5AayTRntSnfR5pUoK,FANTASTIC BABY - BIGBANG10 THE CONCERT : 0.TO.10 -THE FINAL-,BIGBANG,BIGBANG10 THE CONCERT : 0.TO.10 -THE FINAL-,2017,20,0.49,0.979,0.0255,0.0,0.971,-3.964,0.11,130.039,0.231,9.0,0.0,4.0,3.936,비인기곡
2wkZiEA1coK9AoDNQLCQ2A,WE LIKE 2 PARTY - KR Ver. BIGBANG10 THE CONCERT : 0.TO.10 -THE FINAL-,BIGBANG,BIGBANG10 THE CONCERT : 0.TO.10 -THE FINAL-,2017,16,0.395,0.984,0.103,0.0,0.96,-3.569,0.179,89.944,0.635,4.0,1.0,4.0,3.5862166666666666,비인기곡
4ZwAoMpjNLmcoxQWYqHIEJ,HaruHaru - Japanese Version BIGBANG10 THE CONCERT : 0.TO.10 -THE FINAL-,BIGBANG,BIGBANG10 THE CONCERT : 0.TO.10 -THE FINAL-,2017,20,0.575,0.514,0.447,0.0,0.428,-6.856,0.03,125.987,0.462,6.0,1.0,4.0,5.115333333333333,비인기곡
4yozvOf9kFUbDiVvITiT3a,MY HEAVEN - BIGBANG10 THE CONCERT : 0.TO.10 -THE FINAL-,BIGBANG,BIGBANG10 THE CONCERT : 0.TO.10 -THE FINAL-,2017,19,0.481,0.974,0.181,0.0,0.954,-4.162,0.103,128.024,0.365,9.0,0.0,4.0,3.914,비인기곡
65JMUm9AImlK2NMfyVnlHF,FANTASTIC BABY - Live,BIGBANG,BIGBANG10 THE CONCERT 0.TO.10 IN SEOUL,2017,12,0.467,0.955,0.000427,0.0,0.951,-5.947,0.171,130.003,0.26,2.0,1.0,4.0,3.9528166666666666,비인기곡
4h0kPyfScsOoKlNRJ1l5Ty,WE LIKE 2 PARTY - Live,BIGBANG,BIGBANG10 THE CONCERT 0.TO.10 IN SEOUL,2017,11,0.271,0.98,0.035,0.0,0.793,-5.308,0.263,179.914,0.126,4.0,0.0,4.0,3.58575,비인기곡
0b1RkBxhh8130Tgj6c8Oj2,LAST FAREWELL + FEELING + LIES - BIGBANG10 THE CONCERT : 0.TO.10 -THE FINAL-,BIGBANG,BIGBANG10 THE CONCERT : 0.TO.10 -THE FINAL-,2017,14,0.304,0.985,0.0188,0.0,0.825,-4.264,0.144,130.699,0.388,9.0,1.0,4.0,9.793783333333334,비인기곡
65dUBZeDq1VcwDYaR3EfWI,SOBER - Live,BIGBANG,BIGBANG10 THE CONCERT 0.TO.10 IN SEOUL,2017,12,0.429,0.936,0.00113,2.05e-06,0.916,-5.715,0.12,129.977,0.138,0.0,1.0,4.0,3.9665833333333333,비인기곡
5gmc3b0nn5R5ZrlFaJtlrP,BANG BANG BANG - BIGBANG10 THE CONCERT : 0.TO.10 -THE FINAL-,BIGBANG,BIGBANG10 THE CONCERT : 0.TO.10 -THE FINAL-,2017,21,0.445,0.945,0.0396,0.0,0.802,-4.166,0.0902,135.096,0.294,1.0,1.0,4.0,4.260666666666666,비인기곡
1pZ0Jyel2umwXgCyjirFns,HANDS UP - BIGBANG10 THE CONCERT : 0.TO.10 -THE FINAL-,BIGBANG,BIGBANG10 THE CONCERT : 0.TO.10 -THE FINAL-,2017,15,0.458,0.972,0.0447,0.0,0.868,-4.374,0.0708,129.978,0.329,9.0,0.0,4.0,4.03,비인기곡
33e3jzlgpXBQgTQ6radEv8,HEAVEN - Live,BIGBANG,BIGBANG10 THE CONCERT 0.TO.10 IN SEOUL,2017,12,0.393,0.956,0.0658,0.00181,0.752,-5.655,0.154,128.084,0.163,0.0,1.0,4.0,4.393866666666667,비인기곡
4li3pC6WcilQzcJrgE2mNJ,BAD BOY - BIGBANG10 THE CONCERT : 0.TO.10 -THE FINAL-,BIGBANG,BIGBANG10 THE CONCERT : 0.TO.10 -THE FINAL-,2017,15,0.445,0.874,0.297,0.0,0.743,-5.513,0.0934,75.034,0.487,9.0,0.0,4.0,4.236666666666666,비인기곡
4PObiQyJWPPIGWf8fbtW5o,BANG BANG BANG - Live,BIGBANG,BIGBANG10 THE CONCERT 0.TO.10 IN SEOUL,2017,13,0.434,0.94,0.00714,0.0,0.595,-5.27,0.121,135.074,0.219,1.0,1.0,4.0,4.252083333333333,비인기곡
7w45jf4z9fNIJYE59BtjiC,"EYES, NOSE, LIPS - Live",BIGBANG,BIGBANG10 THE CONCERT 0.TO.10 IN SEOUL,2017,11,0.415,0.743,0.0139,6.8e-06,0.539,-6.698,0.0383,143.931,0.159,0.0,1.0,4.0,4.872733333333334,비인기곡
27PYGYRXxejUF4cYulQmtS,BAD BOY - Live,BIGBANG,BIGBANG10 THE CONCERT 0.TO.10 IN SEOUL,2017,12,0.415,0.936,0.0364,0.0,0.765,-6.172,0.178,74.982,0.231,7.0,1.0,4.0,4.139666666666667,비인기곡
1xwb72ylhFQQmzzWrr580e,SOBER - KR Ver. BIGBANG10 THE CONCERT : 0.TO.10 -THE FINAL-,BIGBANG,BIGBANG10 THE CONCERT : 0.TO.10 -THE FINAL-,2017,19,0.299,0.939,0.0128,0.0,0.342,-3.975,0.089,130.004,0.366,5.0,1.0,4.0,4.132666666666666,비인기곡
6TNRVzFt06v5wQqQBsGfFp,ALWAYS - Live,BIGBANG,BIGBANG10 THE CONCERT 0.TO.10 FINAL IN SEOUL,2017,14,0.575,0.926,0.0162,0.0,0.372,-3.819,0.0353,116.024,0.342,5.0,0.0,4.0,3.9358666666666666,비인기곡
3DyCWHPQKe2cvHnZiKpxpU,IF YOU - Live,BIGBANG,BIGBANG10 THE CONCERT 0.TO.10 IN SEOUL,2017,10,0.498,0.623,0.462,1.53e-06,0.309,-8.307,0.0342,141.796,0.203,1.0,1.0,4.0,4.89815,비인기곡
3r6dAVVWsmqCDFvgSBiHEz,LOSER - Live,BIGBANG,BIGBANG10 THE CONCERT 0.TO.10 IN SEOUL,2017,12,0.442,0.909,0.187,0.0,0.929,-5.998,0.149,89.789,0.345,5.0,0.0,4.0,3.6904833333333333,비인기곡
